button | Chord 2 | pos=1440,657 | size=240x42
button | Radiobytes | pos=1680,657 | size=240x42
button | Drum Hat | pos=0,699 | size=240x43
button | Cymbal | pos=240,699 | size=240x43
button | Drum Kick | pos=480,699 | size=240x43
button | Drum Snare | pos=720,699 | size=240x43
button | Vox 1 | pos=960,699 | size=240x43
button | DJ | pos=1200,699 | size=240x43
button | House Kick | pos=1440,699 | size=240x43
button | House Clap | pos=1680,699 | size=240x43
splitter group | グループを分割 | pos=61,742 | size=1859x97
splitter group | グループを分割 | pos=61,742 | size=1558x97
splitter group | グループを分割 | pos=61,742 | size=1558x97
splitter | スプリッタ | pos=61,741 | size=1558x1
splitter group | グループを分割 | pos=61,742 | size=1558x97
button | ボタン | pos=58,740 | size=129x37
button | ボタン | pos=185,740 | size=129x37
scroll area | スクロール領域 | pos=61,777 | size=250x62
static text | テキスト | pos=80,788 | size=74x18
menu button | メニューボタン | pos=263,780 | size=34x34
outline | アウトライン | pos=60,816 | size=237x64
row | アウトライン行 | pos=61,817 | size=235x31
UI element | セル | pos=61,817 | size=235x31
static text | テキスト | pos=103,824 | size=184x17
row | アウトライン行 | pos=61,848 | size=235x31
UI element | セル | pos=61,848 | size=235x31
static text | テキスト | pos=103,855 | size=184x17
column | 列 | pos=61,817 | size=235x62
splitter | スプリッタ | pos=311,742 | size=1x97
static text | テキスト | pos=331,750 | size=74x18
static text | テキスト | pos=413,750 | size=2x18
button | FilterBarTitle | pos=1243,747 | size=24x24
button | Compact grid | pos=1306,747 | size=24x24
button | Collection | pos=1336,747 | size=24x24
text field | マイコレクションで検索 | pos=1378,747 | size=222x24
button | マイコレクションで検索 | pos=1380,748 | size=25x22
scroll area | スクロール領域 | pos=322,777 | size=1287x62
table | ひょう | pos=311,800 | size=1736x25
column | 列 | pos=312,801 | size=33x23
column | 列 | pos=345,801 | size=43x23
column | 列 | pos=388,801 | size=253x23
column | 列 | pos=641,801 | size=183x23
column | 列 | pos=824,801 | size=303x23
column | 列 | pos=1127,801 | size=203x23
column | 列 | pos=1330,801 | size=83x23
column | 列 | pos=1413,801 | size=63x23
column | 列 | pos=1476,801 | size=103x23
column | 列 | pos=1579,801 | size=35x23
column | 列 | pos=1614,801 | size=103x23
column | 列 | pos=1717,801 | size=103x23
column | 列 | pos=1820,801 | size=103x23
column | 列 | pos=1923,801 | size=123x23
group | グループ | pos=312,777 | size=1734x24
button | 並べ替えボタン | pos=312,777 | size=33x24
button | 並べ替えボタン | pos=345,777 | size=43x24
button | 並べ替えボタン | pos=388,777 | size=253x24
button | 並べ替えボタン | pos=641,777 | size=183x24
button | 並べ替えボタン | pos=824,777 | size=303x24
button | 並べ替えボタン | pos=1127,777 | size=203x24
button | 並べ替えボタン | pos=1330,777 | size=83x24
button | 並べ替えボタン | pos=1413,777 | size=63x24
button | 並べ替えボタン | pos=1476,777 | size=103x24
button | 並べ替えボタン | pos=1579,777 | size=35x24
button | 並べ替えボタン | pos=1614,777 | size=103x24
button | 並べ替えボタン | pos=1717,777 | size=103x24
button | 並べ替えボタン | pos=1820,777 | size=103x24
button | 並べ替えボタン | pos=1923,777 | size=123x24
scroll bar | スクロールバー | pos=311,823 | size=1309x17
value indicator | 値インジケータ | pos=321,824 | size=970x15
button | 上向きページボタン | pos=1292,824 | size=326x15
button | 下向きページボタン | pos=312,824 | size=9x15
static text | テキスト | pos=331,791 | size=1269x18
splitter | スプリッタ | pos=1619,742 | size=1x97
splitter | スプリッタ | pos=1619,742 | size=1x97
splitter | スプリッタ | pos=1619,742 | size=1x97
button | Library | pos=1617,739 | size=62x40
button | Queue | pos=1678,739 | size=62x40
button | Match | pos=1739,739 | size=62x40
button | Session | pos=1800,739 | size=62x40
button | Info | pos=1861,739 | size=62x40
scroll area | スクロール領域 | pos=1620,777 | size=300x62
button | Source | pos=1629,776 | size=123x42
table | ひょう | pos=1619,816 | size=302x24
column | 列 | pos=1620,817 | size=300x22
static text | テキスト | pos=1639,791 | size=262x18
button | ボタン | pos=-1,755 | size=62x36
button | ライブラリを分割 | pos=-1,805 | size=62x25
table | ひょう | pos=-1,838 | size=51x574
row | ひょうの行 | pos=0,839 | size=49x44
UI element | セル | pos=6,839 | size=37x44
button | ボタン | pos=5,838 | size=39x46
row | ひょうの行 | pos=0,883 | size=49x44
UI element | セル | pos=6,883 | size=37x44
button | ボタン | pos=5,882 | size=39x46
row | ひょうの行 | pos=0,927 | size=49x44
UI element | セル | pos=6,927 | size=37x44
button | ボタン | pos=5,926 | size=39x46
row | ひょうの行 | pos=0,971 | size=49x44
UI element | セル | pos=6,971 | size=37x44
button | ボタン | pos=5,970 | size=39x46
row | ひょうの行 | pos=0,1015 | size=49x44
UI element | セル | pos=6,1015 | size=37x44
button | ボタン | pos=5,1014 | size=39x46
row | ひょうの行 | pos=0,1059 | size=49x44
UI element | セル | pos=6,1059 | size=37x44
button | ボタン | pos=5,1058 | size=39x46
row | ひょうの行 | pos=0,1103 | size=49x44
UI element | セル | pos=6,1103 | size=37x44
button | ボタン | pos=5,1102 | size=39x46
row | ひょうの行 | pos=0,1147 | size=49x44
UI element | セル | pos=6,1147 | size=37x44
button | ボタン | pos=5,1146 | size=39x46
row | ひょうの行 | pos=0,1191 | size=49x44
UI element | セル | pos=6,1191 | size=37x44
button | ボタン | pos=5,1190 | size=39x46
row | ひょうの行 | pos=0,1235 | size=49x44
